Staf_ID,Nama_Staf,Tgl_Bgb_Staf,No_Tlp_Staf,Email_Staf,Tgl_lhr_Staf,Gender_Staf,Tp_Lhr_Staf,Alamat_Staf
135,"R.A. Ayu Suartini, S.Pt",2025-03-19,+62-864-239-675,staf135_culture-respond@pt.go.id,1996-08-05,Laki-Laki,Bukittinggi,"Jl. Moch. Toha No. 96, Pagaralam, Banten 83514"
136,"Vero Latupono, M.Kom.",2025-06-17,+62 (949) 087 8,staf136_price-play-reach-do@perum.sch.id,1993-11-06,Wanita,Salatiga,"Jl. Astana Anyar No. 662, Kupang, Jawa Timur 19045"
137,Titin Habibi,2025-02-21,(0922) 549 1123,staf137_information-against@pd.desa.id,1992-03-15,Laki-Laki,Pasuruan,"Jl. Rungkut Industri No. 879, Banda Aceh, Jambi 40441"
138,Cemplunk Pangestu,2024-10-31,+62 (115) 234 6,staf138_life-serve-purpose@perum.ac.id,1991-02-12,Wanita,Medan,"Gang Otto Iskandardinata No. 828, Sukabumi, Sumatera Utara 12365"
139,Puji Manullang,2024-05-14,+62 (059) 325-4,staf139_early-husband@perum.sch.id,1995-06-29,Laki-Laki,Tangerang Selatan,"Jl. Ciumbuleuit No. 836, Kota Administrasi Jakarta Utara, DI Yogyakarta 76533"
140,Kamaria Aryani,2024-11-23,+62 (385) 504-6,staf140_face-herself-pm-in@perum.go.id,2002-12-25,Laki-Laki,Lhokseumawe,"Gg. Ciumbuleuit No. 603, Cilegon, Bali 29623"
141,"Kamaria Namaga, S.H.",2024-03-29,+62 (37) 216-02,staf141_why-important-fund@pd.edu,1998-09-09,Wanita,Parepare,"Gang Kutisari Selatan No. 7, Palu, SG 55357"
142,Darmaji Kurniawan,2024-08-16,+62-274-479-468,staf142_after-there@ud.mil.id,2004-12-05,Wanita,Bandar Lampung,"Jl. Otto Iskandardinata No. 96, Langsa, MU 03264"
143,"Ir. Ira Laksmiwati, M.Pd",2024-04-16,+62 (50) 504 10,staf143_morning-major-city@pt.gov,2005-03-30,Wanita,Jayapura,"Jalan Sukabumi No. 3, Pekanbaru, NB 22965"
144,Galih Narpati,2025-12-22,+62 (0622) 029 ,staf144_game-something@perum.int,1994-04-19,Laki-Laki,Tangerang Selatan,"Gang BKR No. 3, Kotamobagu, Sulawesi Utara 48810"
145,Wage Haryanti,2024-11-06,+62 (719) 622 5,staf145_relate-yard@perum.ac.id,1995-07-26,Wanita,Langsa,"Gang Pasteur No. 28, Kendari, SB 61933"
146,Purwanto Habibi,2024-12-13,+62-67-333-7808,staf146_throw-two-himself@pt.com,1989-09-20,Laki-Laki,Bengkulu,"Gg. Joyoboyo No. 15, Padang, KI 82963"
147,R.A. Salwa Suwarno,2025-10-19,+62 (009) 289-7,staf147_candidate-change@perum.edu,2000-12-19,Wanita,Bandar Lampung,"Gang Medokan Ayu No. 209, Padang Sidempuan, Sumatera Utara 40590"
148,Wasis Prasasta,2025-12-27,+62 (045) 497 3,staf148_experience-debate@pd.mil.id,2000-02-23,Laki-Laki,Bukittinggi,"Gg. Moch. Toha No. 03, Pekanbaru, SU 41004"
149,Hj. Rahayu Najmudin,2024-08-28,(067) 288 2750,staf149_local-note-guy@cv.mil,1994-04-01,Wanita,Kota Administrasi Jakarta Barat,"Gg. Kapten Muslihat No. 41, Pagaralam, Nusa Tenggara Barat 63656"
150,"Sutan Dimas Wulandari, M.Farm",2025-12-23,(0851) 834 9761,staf150_mention-total@cv.com,2000-02-18,Laki-Laki,Metro,"Gang Sukabumi No. 89, Denpasar, JK 79657"
151,Liman Santoso,2025-05-02,+62 (29) 319-65,staf151_a-chair-real-better@ud.int,2000-05-25,Wanita,Cimahi,"Gang Erlangga No. 9, Pagaralam, BE 53474"
152,Gaduh Prasasta,2025-02-08,+62-44-373-6738,staf152_more-certainly@cv.my.id,1985-10-13,Laki-Laki,Tegal,"Gang Indragiri No. 933, Kendari, Kalimantan Selatan 78231"
153,"Cut Yuliana Sudiati, S.H.",2025-01-30,(0601) 894-6324,staf153_ten-record-increase@cv.ponpes.id,1985-09-09,Wanita,Binjai,"Gang BKR No. 422, Surakarta, SU 59021"
154,"Mursita Santoso, S.Gz",2025-12-05,0830972578,staf154_window-fill@perum.net,1996-04-13,Laki-Laki,Mataram,"Jalan Indragiri No. 561, Cimahi, Gorontalo 80223"
155,Juli Rajasa,2025-11-09,0896990761,staf155_have-day-pull-can@pd.net,1985-04-20,Wanita,Bau-Bau,"Gg. Moch. Ramdan No. 777, Subulussalam, Jawa Tengah 23828"
156,"Cemeti Hidayat, M.Kom.",2025-12-09,+62 (226) 128-0,staf156_outside-citizen@pt.int,1997-02-16,Wanita,Tegal,"Gang Abdul Muis No. 49, Padang, ST 38482"
157,Jamal Maryadi,2024-10-01,+62 (674) 852-0,staf157_opportunity-old@ud.ponpes.id,1999-12-07,Laki-Laki,Surakarta,"Jl. Jend. A. Yani No. 14, Sukabumi, SR 19267"
158,Hari Rahayu,2024-01-08,+62 (48) 027 50,staf158_specific-fact-lead@pd.go.id,1998-07-12,Wanita,Prabumulih,"Jalan Rajawali Timur No. 665, Depok, Riau 56677"
159,Eman Wahyuni,2025-01-24,080 493 6653,staf159_language-painting@cv.edu,2002-03-16,Laki-Laki,Bau-Bau,"Jalan BKR No. 253, Depok, Jawa Tengah 19659"
160,Jamil Permadi,2025-03-14,+62 (094) 149 2,staf160_morning-sometimes@pt.gov,1990-01-08,Wanita,Sorong,"Gang Jamika No. 1, Jambi, DKI Jakarta 21161"
161,"T. Himawan Widiastuti, S.Ked",2025-02-23,(087) 609 4774,staf161_operation-put@perum.co.id,2002-06-09,Wanita,Payakumbuh,"Gang KH Amin Jasuta No. 79, Ternate, Jambi 89480"
162,Edison Mulyani,2024-03-05,0828322412,staf162_usually-deal-take@pt.co.id,1998-01-26,Laki-Laki,Denpasar,"Jl. Dipatiukur No. 67, Tarakan, JB 34241"
163,Caturangga Saputra,2024-03-14,+62 (035) 945 6,staf163_entire-away-phone@perum.edu,2004-02-11,Laki-Laki,Pariaman,"Gang Sentot Alibasa No. 187, Semarang, Bengkulu 32278"
164,Winda Melani,2025-11-20,+62 (419) 823 1,staf164_money-perform-know@perum.edu,2000-02-10,Laki-Laki,Kendari,"Gg. Antapani Lama No. 1, Singkawang, SB 09114"
165,Jessica Wijaya,2024-03-28,+62-074-460-752,staf165_seem-meeting@pt.id,1988-12-28,Wanita,Semarang,"Jl. Cihampelas No. 1, Denpasar, Maluku 63327"
166,Panca Winarno,2025-06-24,+62-263-992-239,staf166_choice-each-stay@ud.gov,2003-09-11,Wanita,Langsa,"Gang Rajawali Timur No. 7, Bandung, Sulawesi Tengah 68591"
167,"T. Gandi Hidayat, S.Pt",2024-01-30,+62 (0753) 969 ,staf167_believe-of-story@perum.ponpes.id,1990-03-11,Wanita,Pekalongan,"Gang S. Parman No. 4, Kota Administrasi Jakarta Timur, Banten 06530"
168,"Balangga Natsir, S.H.",2025-03-05,080 721 9831,staf168_reason-several@cv.sch.id,2004-01-24,Laki-Laki,Sukabumi,"Jalan Kebonjati No. 388, Bitung, Bengkulu 12152"
169,"Murti Sirait, M.Farm",2025-03-15,(0601) 020 4964,staf169_travel-art-late@pt.edu,2001-12-12,Wanita,Bontang,"Jl. Rawamangun No. 10, Semarang, Jawa Tengah 37504"
170,Cahyono Simbolon,2024-06-25,+62-0631-561-89,staf170_fast-key-sister@pt.or.id,1985-05-14,Laki-Laki,Sukabumi,"Gang Raya Ujungberung No. 3, Banda Aceh, KB 22854"
171,Ani Safitri,2024-03-22,+62 (0922) 597-,staf171_rock-reduce-option@perum.ac.id,1996-09-07,Wanita,Madiun,"Jalan Cihampelas No. 37, Jambi, Jawa Tengah 31726"
172,Ir. Hafshah Saptono,2025-08-08,0809819429,staf172_cut-itself-we@perum.web.id,2005-11-05,Laki-Laki,Makassar,"Gg. Rajawali Barat No. 57, Ambon, MA 56762"
173,Drs. Kayla Nainggolan,2025-03-01,+62-0440-049-05,staf173_president-put-let@ud.ac.id,1985-05-23,Wanita,Bandung,"Jl. Suniaraja No. 88, Palembang, Jambi 10624"
174,Yani Sirait,2025-01-27,+62-084-093-729,staf174_either-nothing@pd.org,2004-03-23,Laki-Laki,Binjai,"Jl. Tebet Barat Dalam No. 949, Palopo, AC 88742"
175,"KH. Ihsan Mardhiyah, S.IP",2024-03-05,(051) 505 3541,staf175_design-development@perum.co.id,1987-03-14,Laki-Laki,Semarang,"Jl. Rungkut Industri No. 681, Bandung, Kalimantan Tengah 84951"
176,Dartono Prastuti,2025-11-11,+62 (85) 682-37,staf176_position-soldier@cv.org,1990-09-21,Wanita,Cilegon,"Jalan Pelajar Pejuang No. 791, Solok, Kalimantan Timur 40512"
177,Drajat Mansur,2025-06-07,(028) 057-2435,staf177_decide-effort@pd.com,2003-07-17,Wanita,Sibolga,"Jl. Moch. Ramdan No. 88, Sawahlunto, MA 23494"
178,Jati Hassanah,2024-04-20,+62 (43) 663 51,staf178_huge-close-agency@pd.desa.id,1986-06-26,Wanita,Payakumbuh,"Jl. Cihampelas No. 5, Madiun, Jawa Timur 32319"
179,"Oni Sudiati, S.I.Kom",2024-06-01,+62 (920) 158 3,staf179_sit-small-clearly@pd.sch.id,1991-02-01,Wanita,Tomohon,"Jalan Merdeka No. 43, Bekasi, JA 01377"
180,Suci Prasetya,2025-03-06,+62-83-593-9883,staf180_particular-body@cv.co.id,1987-08-29,Wanita,Palopo,"Jl. Lembong No. 2, Bima, Gorontalo 79093"
181,Ami Marbun,2025-12-03,(034) 539-9475,staf181_decide-tell@cv.mil,1988-10-27,Laki-Laki,Kota Administrasi Jakarta Timur,"Gang Veteran No. 2, Bau-Bau, NB 26568"
182,"R. Tami Dongoran, S.Psi",2024-08-09,+62 (50) 156-83,staf182_she-learn-memory@perum.net.id,2003-10-29,Laki-Laki,Bontang,"Jalan Rumah Sakit No. 818, Kota Administrasi Jakarta Timur, JI 67555"
183,Mariadi Gunarto,2025-05-19,(0459) 300 4127,staf183_especially-today@pt.co.id,1985-03-14,Wanita,Mataram,"Gang Cikutra Timur No. 8, Manado, Maluku 33258"
184,Rika Putra,2025-10-12,+62 (733) 289-8,staf184_alone-benefit@pt.mil.id,1996-08-19,Wanita,Pontianak,"Jalan Pacuan Kuda No. 287, Sorong, Sulawesi Utara 82199"
185,Tgk. Teguh Oktaviani,2025-09-03,+62 (94) 556 74,staf185_structure-travel@pt.mil,1986-09-18,Wanita,Sorong,"Gg. Indragiri No. 7, Bukittinggi, Jawa Timur 29245"
186,Kania Siregar,2025-12-19,087 351 2291,staf186_member-music-accept@cv.org,2004-12-28,Wanita,Surakarta,"Gang Dipenogoro No. 215, Meulaboh, BB 63974"
187,Winda Januar,2025-11-27,+62-029-911-451,staf187_walk-report-present@perum.com,1993-06-30,Laki-Laki,Tanjungpinang,"Gang Moch. Ramdan No. 3, Banjar, Bengkulu 70028"
188,Yusuf Sinaga,2025-03-25,+62 (623) 172 9,staf188_bank-that-shake@pd.mil,2000-07-16,Wanita,Metro,"Gang Pacuan Kuda No. 5, Sorong, Maluku Utara 64273"
189,Kayla Winarsih,2025-08-07,+62 (0810) 382 ,staf189_fight-cause-rise@ud.com,1986-10-25,Wanita,Malang,"Gang Cempaka No. 6, Cilegon, Kepulauan Riau 99603"
190,Lega Hardiansyah,2025-10-31,+62 (154) 812 7,staf190_part-with-chair@cv.net.id,2000-03-19,Wanita,Palopo,"Gang Kendalsari No. 95, Palangkaraya, Nusa Tenggara Timur 62849"
191,Dt. Najam Kuswoyo,2024-08-15,+62 (0975) 514 ,staf191_usually-simply-low@pt.ac.id,1998-04-04,Wanita,Palembang,"Gang Wonoayu No. 00, Semarang, JT 32791"
192,Eja Oktaviani,2024-07-18,+62 (91) 896 30,staf192_beyond-realize@pd.id,2005-02-28,Laki-Laki,Padangpanjang,"Gang Dipenogoro No. 0, Palopo, BA 57492"
193,Tgk. Liman Marbun,2025-10-11,+62 (570) 383-6,staf193_half-environment@pt.co.id,1989-04-08,Laki-Laki,Samarinda,"Gg. Cikutra Barat No. 73, Mojokerto, JB 73050"
194,R. Putri Gunawan,2024-09-22,+62 (0601) 347-,staf194_business-read@pd.ponpes.id,1992-03-30,Laki-Laki,Kota Administrasi Jakarta Pusat,"Jalan Cihampelas No. 7, Tangerang Selatan, Sulawesi Tenggara 32276"
195,"Dr. Candrakanta Halim, S.E.",2025-11-01,+62 (926) 920 6,staf195_word-week-thing@perum.edu,1994-12-01,Wanita,Bitung,"Gang Pasteur No. 8, Purwokerto, Kalimantan Selatan 52991"
196,Prasetya Kuswoyo,2024-01-30,+62 (049) 986 3,staf196_goal-prove-wonder@cv.int,1990-11-29,Wanita,Lhokseumawe,"Gg. Jend. A. Yani No. 22, Bandar Lampung, Jambi 62763"
197,Okta Wulandari,2025-05-12,+62 (67) 462-27,staf197_simple-security@ud.gov,1986-02-07,Wanita,Tomohon,"Gg. KH Amin Jasuta No. 72, Kupang, JA 93303"
198,Hj. Juli Wacana,2024-06-27,+62-063-413-792,staf198_institution-with@ud.net,1986-12-11,Wanita,Solok,"Gg. Peta No. 9, Madiun, MA 69117"
199,Yessi Uwais,2025-07-21,+62-00-290-1411,staf199_step-spring-him@pd.net,1991-11-16,Wanita,Solok,"Gang Jayawijaya No. 9, Tasikmalaya, BE 70854"
200,Eluh Damanik,2024-03-08,+62 (0420) 695-,staf200_she-animal@perum.int,1985-06-06,Wanita,Kotamobagu,"Gang Setiabudhi No. 8, Banda Aceh, ST 20089"
201,Ir. Unjani Jailani,2024-12-05,(075) 198 1052,staf201_appear-seem-bill@pt.web.id,1994-01-05,Wanita,Kota Administrasi Jakarta Timur,"Jl. Cikutra Timur No. 53, Samarinda, Nusa Tenggara Barat 39317"
202,"R.M. Aslijan Saragih, S.Kom",2025-11-06,+62-761-764-257,staf202_citizen-seem-among@pt.org,1989-08-12,Wanita,Depok,"Gang KH Amin Jasuta No. 80, Banda Aceh, Nusa Tenggara Barat 57217"
203,"dr. Gatra Wibisono, S.Sos",2025-12-11,+62 (0210) 394-,staf203_finally-hope-while@perum.my.id,2003-06-22,Laki-Laki,Tebingtinggi,"Gang Monginsidi No. 388, Tarakan, Sulawesi Tengah 78920"
204,Empluk Anggriawan,2025-12-07,+62-578-349-898,staf204_paper-fire-defense@pt.ac.id,1999-09-13,Wanita,Bekasi,"Jalan Asia Afrika No. 94, Gorontalo, YO 59146"
205,"Dr. Galak Budiman, M.Farm",2025-07-28,+62-68-414-5174,staf205_positive-fly-hold@ud.net.id,1993-10-02,Wanita,Semarang,"Jalan Cikutra Barat No. 719, Sawahlunto, SU 25065"
206,Ciaobella Puspita,2024-02-07,(057) 221-1354,staf206_within-minute-art@perum.ac.id,2000-05-30,Laki-Laki,Palembang,"Gang W.R. Supratman No. 06, Serang, SG 39318"
207,Widya Wibisono,2025-11-06,(0754) 705-6914,staf207_activity-almost@pt.web.id,1985-03-06,Wanita,Bontang,"Gang H.J Maemunah No. 9, Banjarmasin, DI Yogyakarta 75814"
208,dr. Banawi Dongoran,2024-08-06,+62 (09) 264-17,staf208_lawyer-apply-he@ud.co.id,1988-01-18,Laki-Laki,Padangpanjang,"Jl. Ir. H. Djuanda No. 1, Mojokerto, KB 53268"
209,R.A. Ami Suryatmi,2025-11-24,+62 (096) 412-4,staf209_central-financial@cv.my.id,2005-10-10,Laki-Laki,Pangkalpinang,"Gang Dipenogoro No. 0, Sibolga, JK 26941"
210,Gara Suryatmi,2024-12-02,+62 (389) 223-3,staf210_visit-side-research@ud.org,1985-11-07,Wanita,Kota Administrasi Jakarta Utara,"Gang M.H Thamrin No. 31, Pariaman, Sulawesi Tenggara 37965"
211,Fathonah Nababan,2024-04-14,(0680) 347 2290,staf211_your-goal-sell@perum.edu,1996-07-29,Wanita,Tanjungpinang,"Gang Gedebage Selatan No. 348, Tomohon, Papua 53603"
212,Asirwanda Iswahyudi,2024-09-16,0815119725,staf212_have-need-herself@pd.ponpes.id,1993-10-25,Laki-Laki,Tanjungpinang,"Gg. Pasirkoja No. 043, Surabaya, Kalimantan Tengah 47679"
213,Maya Hutasoit,2025-09-05,(093) 754 3517,staf213_tend-black-quickly@pd.gov,2000-07-11,Laki-Laki,Manado,"Gang Veteran No. 60, Tidore Kepulauan, SS 52082"
214,Cinthia Laksmiwati,2024-12-12,086 911 0465,staf214_business-prepare@pt.int,1998-06-15,Wanita,Surabaya,"Jalan Ciwastra No. 4, Sungai Penuh, Kalimantan Utara 01369"
215,"Cut Gasti Mandala, S.Kom",2025-10-13,+62 (0496) 709-,staf215_past-both-natural@perum.org,2003-06-25,Wanita,Langsa,"Jl. Peta No. 8, Kendari, BA 25504"
216,Harimurti Nuraini,2024-01-18,+62-012-511-112,staf216_let-open-matter@perum.ponpes.id,1998-11-07,Laki-Laki,Kota Administrasi Jakarta Selatan,"Jl. HOS. Cokroaminoto No. 62, Tebingtinggi, YO 19356"
217,Carla Marbun,2025-06-13,0854606464,staf217_blue-traditional@cv.gov,1986-03-06,Laki-Laki,Madiun,"Jalan Rumah Sakit No. 240, Sawahlunto, BE 51804"
218,R.A. Michelle Rajata,2024-05-26,+62 (92) 333-19,staf218_meeting-me-stage@ud.biz.id,2002-02-24,Wanita,Bontang,"Jl. H.J Maemunah No. 8, Cimahi, Kepulauan Riau 67576"
219,Maria Wahyuni,2025-12-18,+62 (0076) 779 ,staf219_present-lot@perum.go.id,1989-02-19,Wanita,Tebingtinggi,"Jl. Dipenogoro No. 386, Balikpapan, SS 49721"
220,"Jaya Rajata, S.Psi",2024-05-08,+62 (050) 747-1,staf220_peace-country-money@ud.desa.id,1988-08-03,Laki-Laki,Kota Administrasi Jakarta Utara,"Jl. Jend. A. Yani No. 9, Jayapura, Jawa Barat 11925"
221,Ratna Puspasari,2025-12-26,+62-018-862-272,staf221_former-scene@ud.edu,2003-11-04,Wanita,Sungai Penuh,"Jalan Lembong No. 7, Kota Administrasi Jakarta Pusat, SU 60570"
222,Tgk. Vanesa Mangunsong,2024-08-13,+62 (88) 583 00,staf222_hand-move-rock-our@perum.or.id,1990-04-22,Wanita,Sibolga,"Jalan Rawamangun No. 53, Magelang, BA 89329"
223,"Dr. Juli Siregar, S.Pd",2024-12-06,086 463 4977,staf223_do-career-must@ud.or.id,1993-11-25,Laki-Laki,Kotamobagu,"Gang Cikutra Barat No. 6, Banjar, KB 64826"
224,"Jail Rahmawati, S.Ked",2025-06-10,+62-491-819-379,staf224_walk-they-give-good@ud.id,1989-10-23,Laki-Laki,Kendari,"Jalan Suniaraja No. 493, Pagaralam, SS 21937"
225,R. Limar Dabukke,2025-06-26,080 765 7351,staf225_blood-film-he@pt.org,2000-10-23,Laki-Laki,Kota Administrasi Jakarta Selatan,"Jl. Cikutra Barat No. 67, Tarakan, Nusa Tenggara Timur 20064"
226,Nurul Marbun,2024-03-31,+62 (27) 111 82,staf226_little-organization@ud.net,1997-06-12,Laki-Laki,Batu,"Jalan Pelajar Pejuang No. 21, Magelang, Kepulauan Riau 26879"
227,"Suci Melani, M.TI.",2025-04-26,+62 (35) 208 48,staf227_type-where-father@pd.edu,2004-05-03,Laki-Laki,Bengkulu,"Gang H.J Maemunah No. 0, Banjar, BT 12798"
228,Danang Wasita,2024-07-16,(019) 287-5727,staf228_born-evening-system@ud.web.id,1996-10-01,Laki-Laki,Sungai Penuh,"Gang Moch. Ramdan No. 1, Tanjungpinang, KT 99394"
229,Pranawa Pudjiastuti,2025-03-19,+62-073-605-822,staf229_gun-join-since@pt.id,1990-01-10,Laki-Laki,Bima,"Gang Sadang Serang No. 074, Pariaman, Aceh 52127"
230,Rachel Lestari,2025-02-20,(0985) 450 8565,staf230_data-hotel-after@pt.com,2003-10-18,Laki-Laki,Salatiga,"Gang Bangka Raya No. 7, Prabumulih, AC 75148"
231,Gina Mangunsong,2024-05-11,+62 (005) 381 1,staf231_doctor-standard@pd.edu,2000-12-07,Wanita,Cimahi,"Jl. Kutai No. 77, Bogor, Aceh 68199"
232,Rahmi Utama,2024-06-06,(090) 044-5173,staf232_of-final-question@pd.gov,1986-09-29,Laki-Laki,Banjarbaru,"Gg. Lembong No. 4, Kota Administrasi Jakarta Pusat, Jawa Barat 71648"
233,Jane Prabowo,2025-09-25,(079) 196-8234,staf233_ball-defense-drop@pt.net.id,1991-06-28,Wanita,Batam,"Gg. KH Amin Jasuta No. 433, Magelang, Jambi 80275"
234,Karsana Winarsih,2025-12-10,+62 (141) 930-2,staf234_lot-suffer-future@ud.ac.id,1987-05-31,Laki-Laki,Malang,"Jalan W.R. Supratman No. 81, Pangkalpinang, SR 54824"
235,Ir. Rina Ramadan,2024-12-07,+62 (080) 544 1,staf235_likely-kid-old@perum.mil.id,1989-09-19,Wanita,Sorong,"Jl. Jend. Sudirman No. 03, Balikpapan, KR 10315"
236,"Tgk. Hairyanto Narpati, S.E.",2024-11-15,(045) 136 4109,staf236_something-discover@perum.net,1995-01-09,Wanita,Palangkaraya,"Jalan Jamika No. 3, Subulussalam, Sumatera Utara 62657"
237,Raisa Napitupulu,2024-03-12,+62 (284) 560-2,staf237_heavy-work-ground@pt.co.id,2000-11-12,Laki-Laki,Ambon,"Jalan Dipenogoro No. 364, Palopo, Kalimantan Barat 75644"
238,Aris Oktaviani,2025-11-08,0802453773,staf238_pick-moment-read@perum.co.id,2000-07-19,Wanita,Salatiga,"Gang Kutisari Selatan No. 041, Cirebon, SG 55396"
239,Atmaja Prasasta,2025-06-30,+62 (0346) 197-,staf239_five-various-final@pd.gov,1987-08-28,Wanita,Denpasar,"Jl. K.H. Wahid Hasyim No. 655, Solok, Kalimantan Tengah 53216"
240,Raden Kuswoyo,2024-12-07,(049) 163 5013,staf240_across-truth-along@pd.id,1991-06-30,Wanita,Pekanbaru,"Gang Dr. Djunjunan No. 52, Batam, Riau 33643"
241,Sarah Yolanda,2025-08-08,+62 (113) 121-4,staf241_perhaps-break-after@pd.net.id,1996-10-09,Wanita,Banjar,"Jl. Raya Setiabudhi No. 6, Meulaboh, SU 54745"
242,"Indah Prakasa, S.T.",2025-01-08,089 679 0252,staf242_board-audience@cv.go.id,1991-05-31,Wanita,Mataram,"Gang K.H. Wahid Hasyim No. 2, Padang Sidempuan, Sulawesi Selatan 42377"
243,Prabowo Wasita,2024-11-25,(0168) 130 3087,staf243_coach-rich-edge-use@pd.net.id,1990-10-14,Laki-Laki,Padang,"Jl. Rumah Sakit No. 3, Jayapura, ST 37088"
244,Aurora Firmansyah,2025-02-24,+62 (0982) 713 ,staf244_again-head@ud.ponpes.id,2000-01-14,Laki-Laki,Sabang,"Gang Kutai No. 218, Tarakan, Lampung 78245"
245,R. Victoria Prasetyo,2025-10-26,+62-0155-421-14,staf245_research-act@cv.id,2000-11-28,Wanita,Mojokerto,"Jalan Bangka Raya No. 147, Banjarbaru, PA 64624"
246,"Usyi Situmorang, M.TI.",2025-11-27,0816904055,staf246_view-attention@cv.id,2003-04-04,Laki-Laki,Sungai Penuh,"Gg. Cikutra Timur No. 17, Kotamobagu, NB 20103"
247,Dipa Narpati,2024-06-16,082 449 1071,staf247_treatment-civil@ud.edu,1986-03-01,Wanita,Prabumulih,"Jl. W.R. Supratman No. 80, Bogor, SG 82770"
248,Ifa Anggraini,2025-06-21,0826983140,staf248_assume-look-strong@ud.edu,1992-10-03,Wanita,Padang,"Jl. Lembong No. 78, Cirebon, Papua Barat 71339"
249,Viktor Suwarno,2024-09-22,+62 (085) 747-0,staf249_area-to-best@pt.co.id,1991-10-22,Wanita,Cilegon,"Gg. Cempaka No. 064, Surabaya, Sulawesi Tenggara 61705"
250,"Hamima Sitorus, S.Pt",2024-12-14,+62 (07) 702 90,staf250_building-body-deep@pt.my.id,1990-03-28,Wanita,Subulussalam,"Gang Cempaka No. 1, Bontang, PB 98379"
251,Hadi Hidayanto,2025-12-07,+62-098-698-562,staf251_evening-realize@perum.org,2003-05-12,Laki-Laki,Tasikmalaya,"Gang Suryakencana No. 170, Sungai Penuh, Jawa Barat 49749"
252,Amalia Laksita,2024-01-14,+62 (91) 707 84,staf252_six-threat-threat@perum.ponpes.id,2002-06-18,Wanita,Manado,"Jl. Merdeka No. 95, Bandar Lampung, YO 90874"
253,Warji Widiastuti,2024-04-28,+62 (045) 401-6,staf253_stop-soldier-choose@pd.id,1992-08-06,Wanita,Palopo,"Gang Stasiun Wonokromo No. 59, Bogor, YO 77876"
254,Atma Adriansyah,2025-04-08,+62-0680-589-75,staf254_make-number-step@cv.edu,1987-02-17,Laki-Laki,Pematangsiantar,"Jl. Rajawali Barat No. 0, Palembang, NT 11277"
255,dr. Paramita Napitupulu,2024-09-24,0839799854,staf255_little-goal-other@perum.go.id,1988-09-27,Wanita,Bau-Bau,"Gang Cihampelas No. 1, Batam, SG 21485"
256,Asmianto Palastri,2024-07-04,+62 (96) 088-43,staf256_wait-require-range@pd.net.id,2003-11-24,Laki-Laki,Subulussalam,"Gg. Sukabumi No. 1, Jayapura, SS 51964"
257,Ibrani Uwais,2025-12-08,+62-0411-022-30,staf257_performance@ud.my.id,1998-10-19,Laki-Laki,Jambi,"Jalan Lembong No. 848, Pematangsiantar, Kalimantan Timur 02730"
258,Respati Wibowo,2024-10-21,(070) 606 2817,staf258_strategy-specific@pd.ac.id,1995-06-06,Wanita,Pematangsiantar,"Gg. Stasiun Wonokromo No. 51, Cimahi, Maluku 38715"
259,"Syahrini Permata, S.Gz",2025-02-07,+62 (703) 140-7,staf259_worry-discover@perum.web.id,1999-05-14,Wanita,Madiun,"Gg. Asia Afrika No. 8, Metro, DKI Jakarta 65974"
260,Restu Najmudin,2024-02-02,+62-044-908-466,staf260_address-they-know@pd.my.id,2005-01-02,Wanita,Gorontalo,"Gg. Ciwastra No. 09, Solok, RI 20617"
261,Yusuf Lestari,2025-04-23,+62 (16) 488-67,staf261_real-end@cv.web.id,1995-12-27,Wanita,Jambi,"Gg. Surapati No. 1, Bandar Lampung, Jawa Tengah 18534"
262,R. Maman Simbolon,2025-08-17,+62-0082-319-78,staf262_represent-seek-tend@perum.org,1985-10-12,Wanita,Padangpanjang,"Gang Suniaraja No. 317, Kotamobagu, Kalimantan Selatan 96241"
263,"KH. Ghani Sirait, M.Kom.",2024-06-22,087 626 5153,staf263_short-some-science@cv.web.id,1987-05-13,Laki-Laki,Samarinda,"Gang Pasteur No. 808, Padang Sidempuan, JA 83016"
264,Jarwadi Andriani,2024-04-21,(0931) 900-7981,staf264_central-have-inside@perum.net.id,1993-01-25,Laki-Laki,Lhokseumawe,"Jl. Rawamangun No. 783, Cirebon, Kalimantan Selatan 18073"
265,Imam Nashiruddin,2024-03-31,(011) 946 5979,staf265_purpose-against@pd.go.id,1992-02-16,Wanita,Banjar,"Gg. Kiaracondong No. 16, Kediri, Kepulauan Riau 54073"
266,Vivi Sihotang,2025-07-01,+62 (039) 797 0,staf266_blue-major-add@pd.gov,1993-02-19,Laki-Laki,Pekanbaru,"Jalan KH Amin Jasuta No. 5, Cilegon, NT 44531"
267,Mahfud Haryanti,2024-02-27,(042) 142-3029,staf267_laugh-assume-group@ud.ponpes.id,1995-12-25,Wanita,Pagaralam,"Jl. Sadang Serang No. 24, Jambi, DKI Jakarta 43795"
268,Rina Waluyo,2025-12-19,+62 (025) 387 6,staf268_ago-course-culture@cv.mil,1991-07-28,Wanita,Bengkulu,"Gg. Jend. Sudirman No. 55, Kota Administrasi Jakarta Barat, Kalimantan Tengah 09400"
269,Garan Hastuti,2025-06-06,+62-16-072-6156,staf269_feeling-offer-seek@cv.mil,2002-12-21,Wanita,Probolinggo,"Gg. Raya Ujungberung No. 336, Kotamobagu, Jawa Tengah 85675"
