Pengacara_ID,Nama_Pengacara,Tgl_Bgb_Pca,Spesialisasi,No_Tlp_Pca,Alamat_Pengacara,Email_Pengacara,Tempat_Lahir_Pca,Tgl_Lhr_Pca,Gender_Pengacara
246,Sari Mahendra,2025-12-11,Hukum Kepailitan,+62 (015) 802 2,"Gang Astana Anyar No. 22, Pekanbaru, Papua Barat 69263",pengacara246_stuff-try-site@perum.int,Palopo,1988-07-22,Wanita
247,Labuh Marpaung,2024-10-31,Hukum Pajak,(041) 431-1676,"Gang Kendalsari No. 185, Tarakan, KB 09972",pengacara247_easy-recent-point@perum.int,Kotamobagu,1979-03-07,Wanita
248,"Unjani Wibisono, S.I.Kom",2024-06-28,Hukum Perdata,+62 (067) 972 4,"Gg. Peta No. 42, Batu, SU 09797",pengacara248_how-thought-add@ud.org,Palembang,1971-06-01,Wanita
249,Jati Usada,2024-05-12,Hukum Keluarga,+62 (020) 992 3,"Jalan Ciumbuleuit No. 759, Bogor, KU 29421",pengacara249_wonder-feel-by@pt.com,Padang,1989-10-06,Laki-Laki
250,Ibrahim Yuliarti,2024-01-15,Hukum Kepailitan,+62-0817-767-71,"Gg. Antapani Lama No. 4, Magelang, Aceh 23059",pengacara250_nice-sound-apply@ud.edu,Palopo,1990-07-24,Laki-Laki
251,"Darmaji Budiyanto, S.Ked",2024-08-16,Hukum Keluarga,+62 (0776) 518 ,"Gang HOS. Cokroaminoto No. 9, Tegal, KB 62024",pengacara251_both-big-hair-power@pt.sch.id,Pariaman,1974-02-02,Wanita
252,Siska Pangestu,2025-11-28,Hukum Kepailitan,+62 (001) 956-0,"Gg. Gedebage Selatan No. 4, Manado, Nusa Tenggara Barat 37913",pengacara252_personal-condition@pd.or.id,Probolinggo,1994-04-08,Wanita
253,"Drs. Mahdi Saputra, M.Farm",2024-11-16,Hukum Tata Negara,+62 (307) 641 2,"Jalan Moch. Toha No. 4, Purwokerto, ST 87133",pengacara253_see-later-great-you@perum.ac.id,Bengkulu,1987-02-12,Laki-Laki
254,Citra Fujiati,2024-06-02,Hukum Kepailitan,+62 (33) 900 86,"Gang K.H. Wahid Hasyim No. 0, Tangerang Selatan, Kepulauan Bangka Belitung 46636",pengacara254_fast-popular-get-he@ud.biz.id,Kediri,1995-07-13,Laki-Laki
255,Nadine Melani,2024-12-17,Hukum Pajak,+62-029-762-478,"Jalan Rajawali Barat No. 6, Banjar, DI Yogyakarta 94711",pengacara255_crime-response-say@perum.my.id,Tegal,1990-10-13,Wanita
256,Dalima Saptono,2024-06-01,Hukum Tata Negara,082 599 8405,"Jalan Gedebage Selatan No. 121, Probolinggo, RI 09754",pengacara256_work-trip-six@cv.go.id,Bandar Lampung,1993-11-10,Laki-Laki
257,Silvia Riyanti,2025-07-12,Hukum Kepailitan,(0665) 615 0819,"Gg. Pelajar Pejuang No. 344, Pekanbaru, Jawa Tengah 99659",pengacara257_month-part-use-own@pt.net.id,Bandar Lampung,1977-03-12,Wanita
258,dr. Kiandra Palastri,2024-06-30,Hukum Bisnis,+62 (0345) 118-,"Gg. Cihampelas No. 51, Pontianak, Sumatera Selatan 08297",pengacara258_sister-worry-whom@pt.net,Tangerang Selatan,1992-03-13,Wanita
259,Padmi Hastuti,2025-12-25,Hukum Keluarga,0881522429,"Gang Lembong No. 25, Subulussalam, SU 98192",pengacara259_ability-fund-whom@perum.co.id,Madiun,1992-04-26,Laki-Laki
260,"R.M. Kenzie Hastuti, M.Kom.",2025-08-20,Hukum Pajak,(0774) 277 0204,"Jalan Otto Iskandardinata No. 548, Pagaralam, SU 77902",pengacara260_simple-couple@pt.web.id,Tangerang,1976-08-22,Wanita
261,Harjasa Hariyah,2025-01-01,Hukum Kepailitan,+62-75-167-4057,"Jl. Ciwastra No. 809, Solok, BB 47209",pengacara261_late-with-forward@cv.desa.id,Tidore Kepulauan,1988-09-09,Laki-Laki
262,R. Dewi Suryono,2025-11-07,Hukum Pajak,+62 (0856) 487-,"Jalan W.R. Supratman No. 14, Banjarmasin, KT 90818",pengacara262_pm-keep-reason@cv.or.id,Bitung,1971-02-08,Laki-Laki
263,"Suci Simanjuntak, S.H.",2025-11-03,Hukum Pajak,0822290186,"Jalan Ir. H. Djuanda No. 39, Pekanbaru, JB 48845",pengacara263_institution-prepare@cv.mil.id,Metro,1988-01-01,Wanita
264,"drg. Daliman Saptono, M.Farm",2024-05-07,Hukum Keluarga,(0743) 442-0533,"Jalan Tebet Barat Dalam No. 395, Pematangsiantar, Lampung 81324",pengacara264_share-gun-great@ud.edu,Tanjungbalai,1982-08-14,Laki-Laki
265,R.A. Fitriani Namaga,2025-04-03,Hukum Tata Negara,+62-0313-439-71,"Jl. Rajawali Timur No. 4, Kota Administrasi Jakarta Timur, MA 67388",pengacara265_discover-human@cv.int,Surabaya,1978-03-03,Laki-Laki
266,Melinda Nashiruddin,2025-05-01,Hukum Keluarga,083 878 2114,"Gg. Gardujati No. 8, Malang, Bali 59457",pengacara266_result-provide-how@pd.com,Malang,1991-01-31,Laki-Laki
267,"Kamaria Simanjuntak, S.Pt",2025-09-12,Hukum Bisnis,+62-97-580-0004,"Jl. Pasir Koja No. 90, Banjarmasin, Aceh 50446",pengacara267_form-me-education@cv.mil.id,Meulaboh,1988-10-12,Laki-Laki
268,R.M. Jaeman Uwais,2024-09-06,Hukum Pidana,+62-026-681-482,"Jl. Cihampelas No. 8, Padang Sidempuan, Bengkulu 32516",pengacara268_each-arrive-blood@cv.net,Surakarta,1978-04-20,Wanita
269,Cut Patricia Gunawan,2024-01-15,Hukum Tata Negara,+62 (965) 577 9,"Gg. Gedebage Selatan No. 606, Banda Aceh, Bali 06672",pengacara269_thank-drop@pt.sch.id,Kupang,1995-10-06,Wanita
270,"KH. Prasetya Prasetyo, S.I.Kom",2025-08-06,Hukum Properti,088 586 0278,"Jl. Jend. A. Yani No. 642, Tegal, PB 56878",pengacara270_support-go-them@pt.int,Pekanbaru,1985-07-08,Laki-Laki
271,Drs. Lili Agustina,2024-08-31,Hukum Pajak,+62 (000) 806 2,"Jalan Jamika No. 377, Banjarmasin, Kalimantan Timur 53488",pengacara271_small-staff-reduce@pd.mil,Mojokerto,1995-09-26,Laki-Laki
272,Laksana Sinaga,2025-09-20,Hukum Pajak,+62 (0301) 610-,"Jl. Pacuan Kuda No. 5, Bontang, AC 92287",pengacara272_little-mind@pt.go.id,Cirebon,1971-08-17,Laki-Laki
273,Johan Usamah,2025-02-02,Hukum Perdata,+62-992-615-845,"Gg. K.H. Wahid Hasyim No. 8, Purwokerto, LA 19155",pengacara273_worker-each-piece@cv.id,Sorong,1970-03-20,Laki-Laki
274,"Vanesa Maulana, S.Sos",2024-08-16,Hukum Bisnis,(0076) 852-1613,"Jl. Pacuan Kuda No. 9, Kota Administrasi Jakarta Utara, JB 63375",pengacara274_sign-kitchen-drive@pt.id,Pasuruan,1985-12-22,Laki-Laki
275,Dirja Hartati,2025-12-06,Hukum Tata Negara,+62 (77) 324-51,"Gang Moch. Ramdan No. 863, Palopo, JB 62996",pengacara275_late-play-several@ud.org,Dumai,1971-12-11,Wanita
276,Julia Nurdiyanti,2024-11-19,Hukum Kepailitan,+62 (36) 583-28,"Gg. Surapati No. 9, Bontang, JA 45309",pengacara276_mission-bed-student@ud.org,Cirebon,1977-03-17,Laki-Laki
277,Victoria Prasetyo,2024-11-04,Hukum Bisnis,+62-15-376-5919,"Gg. Rajawali Timur No. 102, Ambon, Jawa Tengah 06734",pengacara277_key-amount-any@pt.com,Manado,1982-10-28,Wanita
278,"Ulya Nurdiyanti, S.H.",2024-06-08,Hukum Kepailitan,+62-0728-494-26,"Jalan S. Parman No. 95, Tarakan, Kepulauan Bangka Belitung 71971",pengacara278_decade-present-over@cv.mil,Parepare,1995-04-25,Laki-Laki
279,"Suci Utama, S.E.I",2025-01-09,Hukum Bisnis,+62 (63) 948 74,"Gang Astana Anyar No. 689, Sibolga, Maluku Utara 07809",pengacara279_especially-this@pd.gov,Madiun,1981-04-02,Laki-Laki
280,Yessi Rahayu,2024-05-21,Hukum Perdata,+62 (084) 406-2,"Jl. Rumah Sakit No. 71, Palangkaraya, YO 58579",pengacara280_development@pt.int,Ternate,1978-03-18,Wanita
281,"R.M. Harto Kurniawan, S.Pt",2024-07-26,Hukum Pidana,+62 (345) 379 6,"Gang Ir. H. Djuanda No. 845, Bau-Bau, JT 64600",pengacara281_commercial-blood@perum.org,Ternate,1971-05-28,Laki-Laki
282,"Dt. Radit Pertiwi, S.T.",2025-04-21,Hukum Bisnis,+62 (008) 378-8,"Jalan H.J Maemunah No. 046, Padang Sidempuan, Kalimantan Selatan 35432",pengacara282_lead-single@ud.ac.id,Depok,1987-05-26,Wanita
283,Mustika Prasasta,2025-08-30,Hukum Tata Negara,+62-65-333-6973,"Jl. Kiaracondong No. 201, Kediri, BT 75333",pengacara283_without-usually@cv.net,Cilegon,1990-01-06,Wanita
284,"Cici Mardhiyah, S.E.",2024-10-11,Hukum Kepailitan,083 293 0899,"Jl. Veteran No. 8, Bandung, Jawa Barat 83857",pengacara284_receive-help-more@cv.com,Sawahlunto,1979-03-31,Wanita
285,Jagaraga Wahyudin,2024-05-12,Hukum Pajak,+62-064-439-841,"Gang Dr. Djunjunan No. 499, Palembang, Sulawesi Utara 61828",pengacara285_interview-stop-help@pt.desa.id,Prabumulih,1970-08-24,Laki-Laki
286,dr. Harimurti Pradipta,2025-02-03,Hukum Perdata,+62 (0038) 819 ,"Gg. Ciumbuleuit No. 942, Pagaralam, Papua 12080",pengacara286_drop-customer@perum.web.id,Pekanbaru,1983-11-10,Laki-Laki
287,Harjo Pudjiastuti,2024-05-26,Hukum Kepailitan,+62 (026) 618 5,"Jalan Jakarta No. 72, Tarakan, KU 01167",pengacara287_pass-place-per@pt.sch.id,Pariaman,1983-05-25,Laki-Laki
288,Puji Natsir,2025-04-07,Hukum Bisnis,+62 (33) 552-14,"Jalan Jakarta No. 914, Kota Administrasi Jakarta Utara, Aceh 33374",pengacara288_through-career@perum.net.id,Bogor,1975-07-30,Wanita
289,Banawi Prakasa,2024-08-22,Hukum Kepailitan,0866796723,"Jl. Astana Anyar No. 41, Tangerang, Riau 21131",pengacara289_boy-detail-article@pd.co.id,Bogor,1978-01-18,Laki-Laki
290,"Qori Uwais, S.Farm",2024-02-12,Hukum Tata Negara,0841334056,"Jalan R.E Martadinata No. 28, Tidore Kepulauan, Aceh 40248",pengacara290_town-eat-order-than@pt.go.id,Payakumbuh,1973-01-16,Wanita
291,"Drs. Umi Dabukke, S.Ked",2024-09-30,Hukum Properti,+62 (67) 458 22,"Jl. Cikutra Timur No. 03, Sukabumi, BB 66425",pengacara291_protect-military@pd.id,Bogor,1972-02-15,Laki-Laki
292,Dimaz Mandasari,2025-10-24,Hukum Tata Negara,+62-0748-980-11,"Jl. Ahmad Dahlan No. 76, Mojokerto, Maluku 10066",pengacara292_why-top-line-task@cv.org,Bontang,1992-12-04,Laki-Laki
293,Ira Simanjuntak,2024-12-03,Hukum Perdata,(048) 345-9162,"Gang Moch. Ramdan No. 1, Kediri, GO 70882",pengacara293_take-analysis-time@pd.net,Banjarmasin,1981-10-12,Laki-Laki
294,"Septi Prasetya, S.IP",2024-10-25,Hukum Pajak,+62 (0047) 118 ,"Jalan Peta No. 5, Singkawang, SN 18350",pengacara294_space-after@ud.id,Kupang,1986-09-24,Laki-Laki
295,Gadang Hutapea,2025-09-28,Hukum Pajak,(0935) 667 5214,"Jalan Medokan Ayu No. 42, Pematangsiantar, Jawa Timur 54394",pengacara295_study-tough-my@cv.my.id,Serang,1984-03-12,Wanita
296,Cemeti Marbun,2025-12-21,Hukum Bisnis,0832441655,"Gg. Pacuan Kuda No. 4, Kota Administrasi Jakarta Timur, BB 65746",pengacara296_commercial-early@pd.or.id,Subulussalam,1976-10-15,Wanita
297,R.A. Irma Adriansyah,2024-06-17,Hukum Perdata,0871887769,"Gang Cikutra Barat No. 89, Cimahi, KR 27337",pengacara297_trip-sign-real@ud.ponpes.id,Payakumbuh,1984-12-15,Wanita
298,"Sutan Eka Hassanah, M.TI.",2025-10-31,Hukum Tata Negara,0869487070,"Gg. Tubagus Ismail No. 78, Mataram, RI 91974",pengacara298_somebody-occur@perum.my.id,Kota Administrasi Jakarta Selatan,1978-10-03,Laki-Laki
299,Hilda Putra,2025-08-23,Hukum Perdata,+62 (775) 362 7,"Jalan Suniaraja No. 680, Blitar, Bali 98102",pengacara299_until-option-laugh@cv.net,Singkawang,1971-03-08,Laki-Laki
300,"R. Gina Habibi, S.Farm",2025-02-24,Hukum Properti,+62-0485-502-97,"Jalan K.H. Wahid Hasyim No. 2, Jambi, Jambi 08570",pengacara300_pick-news-able@cv.int,Batam,1995-10-28,Laki-Laki
301,Soleh Oktaviani,2024-01-07,Hukum Properti,087 118 0952,"Jl. Cempaka No. 3, Banjar, PA 47438",pengacara301_economy-lose-ok@ud.my.id,Tual,1976-11-02,Laki-Laki
302,"H. Adikara Sihombing, M.TI.",2025-05-10,Hukum Keluarga,(016) 450 0226,"Jl. Soekarno Hatta No. 1, Palembang, BE 10810",pengacara302_hair-no-half-really@cv.mil,Magelang,1975-02-20,Laki-Laki
303,Upik Oktaviani,2025-07-04,Hukum Keluarga,+62-855-555-842,"Jalan Kutai No. 213, Cilegon, AC 97222",pengacara303_all-player-garden@cv.mil.id,Pagaralam,1979-03-11,Wanita
304,"Fitria Utami, M.Farm",2024-09-23,Hukum Keluarga,+62 (218) 801-5,"Jalan Pacuan Kuda No. 85, Tangerang Selatan, Maluku Utara 75233",pengacara304_follow-only-medical@cv.sch.id,Payakumbuh,1974-08-05,Laki-Laki
305,Tgk. Hasna Namaga,2024-04-23,Hukum Keluarga,082 290 2313,"Gang Cempaka No. 011, Tegal, SG 01131",pengacara305_explain-western@perum.net,Pekalongan,1988-07-28,Laki-Laki
306,Yono Habibi,2024-08-25,Hukum Kepailitan,0856841484,"Gang Cihampelas No. 2, Sukabumi, BT 33261",pengacara306_land-air-letter@perum.org,Solok,1982-06-07,Laki-Laki
307,"Garang Permata, S.Pt",2025-02-07,Hukum Properti,+62 (078) 436 1,"Gang Cihampelas No. 560, Tual, LA 23251",pengacara307_require-color@cv.edu,Cimahi,1979-05-09,Wanita
308,"Ir. Malika Maulana, S.Kom",2024-08-04,Hukum Pajak,+62 (0804) 614 ,"Jalan Jakarta No. 5, Palembang, SB 20797",pengacara308_throw-along-these@cv.net,Tasikmalaya,1987-02-18,Laki-Laki
309,Arsipatra Fujiati,2025-07-17,Hukum Pidana,(080) 418 3473,"Jl. Antapani Lama No. 345, Tual, GO 62496",pengacara309_still-budget@ud.desa.id,Ambon,1971-08-21,Laki-Laki
310,R.A. Zahra Sihombing,2024-02-03,Hukum Keluarga,(0635) 938 8412,"Jl. Sentot Alibasa No. 418, Kota Administrasi Jakarta Selatan, Sulawesi Tengah 00302",pengacara310_score-also-word-of@pt.com,Kendari,1972-01-20,Wanita
311,"KH. Bakti Nurdiyanti, S.Kom",2024-04-18,Hukum Properti,+62 (97) 462 27,"Jl. Cikutra Timur No. 447, Sukabumi, Maluku 56483",pengacara311_participant-no@pd.desa.id,Serang,1986-11-27,Laki-Laki
312,Jaga Megantara,2024-07-02,Hukum Keluarga,+62-099-425-131,"Jl. Ir. H. Djuanda No. 768, Tidore Kepulauan, Papua Barat 38260",pengacara312_fear-trip-report@pd.int,Palopo,1971-06-04,Laki-Laki
313,Bagas Sitorus,2025-05-05,Hukum Perdata,(051) 736-1282,"Jalan S. Parman No. 328, Banjar, JI 06221",pengacara313_go-themselves-small@cv.net.id,Kediri,1973-12-19,Laki-Laki
314,Galak Setiawan,2025-06-16,Hukum Properti,(037) 507-6568,"Gang Wonoayu No. 3, Manado, PB 33569",pengacara314_cost-or-return@perum.go.id,Singkawang,1977-10-15,Wanita
315,"Cut Rika Astuti, S.I.Kom",2024-05-24,Hukum Kepailitan,+62 (07) 631 01,"Gg. Waringin No. 29, Salatiga, SU 87338",pengacara315_poor-professor-cup@perum.or.id,Bontang,1980-07-08,Laki-Laki
316,Dr. Gawati Riyanti,2025-08-24,Hukum Properti,(0637) 238-9216,"Jalan Pasir Koja No. 29, Kota Administrasi Jakarta Utara, JI 39525",pengacara316_human-poor-wall@ud.mil,Tanjungbalai,1982-10-21,Wanita
317,"H. Baktianto Anggriawan, S.IP",2024-04-08,Hukum Pidana,+62 (023) 629 1,"Jl. Waringin No. 9, Singkawang, Kepulauan Riau 19737",pengacara317_nation-color@ud.go.id,Pekalongan,1971-04-25,Wanita
318,Karman Mustofa,2025-07-22,Hukum Pajak,+62 (604) 589 6,"Gang Jend. Sudirman No. 58, Kendari, SU 32877",pengacara318_down-unit-somebody@pd.id,Solok,1985-04-19,Wanita
319,R. Asirwada Permadi,2024-01-01,Hukum Bisnis,+62 (005) 641-7,"Gang Erlangga No. 959, Malang, SR 72518",pengacara319_behind-authority@pd.my.id,Padangpanjang,1991-07-11,Wanita
320,Drs. Eva Sirait,2024-09-01,Hukum Properti,+62 (008) 269 9,"Jl. Rawamangun No. 526, Banjarmasin, Banten 25558",pengacara320_country-investment@perum.com,Blitar,1972-04-13,Laki-Laki
321,Pranata Waskita,2024-08-20,Hukum Kepailitan,+62 (700) 167 6,"Gg. S. Parman No. 3, Bontang, Sumatera Utara 34653",pengacara321_wish-media-civil@cv.web.id,Pontianak,1975-10-20,Laki-Laki
322,"Elon Kusmawati, S.Pt",2025-02-19,Hukum Pidana,+62-78-769-1713,"Gg. Veteran No. 36, Banjarmasin, Bengkulu 12105",pengacara322_stand-can-one@pt.desa.id,Langsa,1975-12-20,Wanita
323,Nardi Suwarno,2025-09-30,Hukum Pidana,(013) 634 5835,"Gg. Kebonjati No. 61, Probolinggo, Nusa Tenggara Barat 33961",pengacara323_whole-by-teacher@perum.mil,Bogor,1972-08-15,Laki-Laki
324,Drs. Ajimin Hasanah,2025-07-12,Hukum Perdata,(073) 703 1880,"Jl. Antapani Lama No. 79, Banjarbaru, JI 42577",pengacara324_brother-together@perum.ponpes.id,Sukabumi,1991-08-24,Laki-Laki
325,Dasa Hariyah,2024-05-18,Hukum Perdata,0887525921,"Gg. Ahmad Dahlan No. 3, Pekanbaru, KR 35415",pengacara325_now-raise-keep@ud.biz.id,Malang,1973-12-11,Wanita
326,Edi Mandala,2024-09-26,Hukum Pajak,+62 (0697) 720 ,"Jalan Pacuan Kuda No. 13, Ternate, BE 45608",pengacara326_identify-live-huge@perum.co.id,Palu,1993-01-03,Wanita
327,Carla Permata,2024-06-25,Hukum Perdata,+62 (0945) 770-,"Gang Pasirkoja No. 444, Tanjungpinang, Kalimantan Barat 67385",pengacara327_mr-with-should@pd.ponpes.id,Kota Administrasi Jakarta Selatan,1973-04-28,Wanita
328,Jamalia Padmasari,2024-02-18,Hukum Keluarga,+62-0536-470-32,"Gang Cihampelas No. 55, Palangkaraya, Kepulauan Bangka Belitung 99180",pengacara328_remember-ten-these@pd.go.id,Langsa,1971-11-09,Wanita
329,Digdaya Sihombing,2024-02-20,Hukum Perdata,+62 (161) 107 8,"Jalan Rawamangun No. 93, Tebingtinggi, NT 77740",pengacara329_space-apply-way@pd.ponpes.id,Kota Administrasi Jakarta Pusat,1972-08-20,Wanita
330,"H. Slamet Haryanti, S.Psi",2024-02-27,Hukum Properti,+62 (0756) 684 ,"Jalan Siliwangi No. 476, Yogyakarta, SB 11355",pengacara330_onto-number@perum.net,Batu,1982-07-22,Wanita
331,Paulin Hassanah,2024-01-17,Hukum Keluarga,+62 (48) 315-47,"Gang Surapati No. 496, Sibolga, Sulawesi Selatan 64157",pengacara331_understand-real@perum.net.id,Pasuruan,1991-04-16,Wanita
332,H. Naradi Wahyudin,2024-03-29,Hukum Perdata,(0227) 245 7931,"Gang Ir. H. Djuanda No. 754, Sabang, Kalimantan Selatan 41962",pengacara332_contain-policy@ud.mil,Payakumbuh,1993-05-09,Wanita
333,"Cornelia Prasasta, S.E.",2024-05-23,Hukum Kepailitan,+62-77-615-8542,"Jalan Pacuan Kuda No. 6, Pematangsiantar, Jambi 46530",pengacara333_strategy-us-hotel@ud.my.id,Bukittinggi,1973-06-06,Wanita
334,"Dt. Cakrabirawa Riyanti, S.T.",2025-01-12,Hukum Tata Negara,+62 (0480) 014 ,"Jalan Veteran No. 90, Kota Administrasi Jakarta Timur, Sumatera Selatan 42189",pengacara334_science-catch@pd.int,Cimahi,1993-11-21,Wanita
335,Wakiman Setiawan,2025-04-30,Hukum Bisnis,+62 (0603) 103 ,"Gang Rawamangun No. 3, Ambon, Jawa Timur 49114",pengacara335_range-oil-trip@ud.ponpes.id,Palopo,1988-02-24,Laki-Laki
336,Unggul Tarihoran,2025-08-06,Hukum Bisnis,+62-068-011-773,"Jalan Dipatiukur No. 2, Sorong, KR 90689",pengacara336_teacher-blue@ud.go.id,Palangkaraya,1991-05-02,Laki-Laki
337,Hamima Purwanti,2025-10-09,Hukum Tata Negara,+62 (013) 199-3,"Gg. Pelajar Pejuang No. 52, Bandar Lampung, Banten 52129",pengacara337_painting-most-your@pd.com,Pangkalpinang,1993-04-14,Wanita
338,"Daliman Purwanti, S.Psi",2025-04-20,Hukum Perdata,+62 (03) 918-12,"Gang Ahmad Dahlan No. 511, Purwokerto, Papua Barat 36272",pengacara338_service-show-spring@perum.desa.id,Padang,1976-05-03,Wanita
339,"R.M. Edi Samosir, S.IP",2024-09-05,Hukum Pajak,+62 (092) 591-6,"Gg. Laswi No. 326, Mojokerto, KS 99289",pengacara339_miss-person-firm@pd.my.id,Pangkalpinang,1983-09-14,Laki-Laki
340,"Dr. Tomi Sitorus, S.H.",2025-02-04,Hukum Perdata,+62 (0253) 720 ,"Jl. KH Amin Jasuta No. 27, Kediri, Sumatera Utara 35440",pengacara340_than-couple@pd.net,Sukabumi,1991-08-03,Laki-Laki
341,Hari Situmorang,2024-02-26,Hukum Tata Negara,+62-85-940-0479,"Gg. Rajawali Timur No. 38, Kota Administrasi Jakarta Pusat, JK 78029",pengacara341_say-air-world-sing@cv.my.id,Batam,1976-05-03,Wanita
342,Ida Saptono,2024-08-27,Hukum Bisnis,+62-078-879-750,"Jl. Jakarta No. 2, Bitung, Maluku Utara 46887",pengacara342_training-mind-art@perum.int,Subulussalam,1983-08-18,Laki-Laki
343,"dr. Tantri Wijaya, S.Farm",2024-07-09,Hukum Bisnis,+62 (029) 789 8,"Gang Lembong No. 68, Makassar, SG 39609",pengacara343_against-easy-again@ud.desa.id,Dumai,1989-07-04,Laki-Laki
344,Ana Wacana,2025-06-04,Hukum Pidana,+62 (57) 669 30,"Gg. Rumah Sakit No. 32, Tomohon, SS 14562",pengacara344_thus-whom-start@pt.edu,Pariaman,1978-11-05,Laki-Laki
345,drg. Jagaraga Napitupulu,2024-06-14,Hukum Pidana,(010) 786 7819,"Jl. Antapani Lama No. 9, Pekanbaru, MA 55548",pengacara345_item-significant-so@ud.gov,Banjarmasin,1981-04-27,Wanita
346,Ir. Danang Saputra,2025-05-15,Hukum Pidana,0896852360,"Gang Raya Ujungberung No. 7, Tangerang Selatan, Sumatera Utara 31984",pengacara346_main-indicate-human@perum.net,Kotamobagu,1975-10-15,Laki-Laki
347,"Maimunah Agustina, S.Gz",2025-12-26,Hukum Properti,+62-018-102-505,"Gg. Sentot Alibasa No. 0, Palangkaraya, SU 57138",pengacara347_they-form@pt.my.id,Bontang,1995-03-04,Wanita
348,Rika Sirait,2025-03-05,Hukum Tata Negara,+62 (033) 851-9,"Jalan Cikapayang No. 05, Manado, Kalimantan Timur 52319",pengacara348_as-she-big-food@pt.go.id,Kota Administrasi Jakarta Selatan,1980-05-24,Wanita
349,Zahra Sirait,2025-03-20,Hukum Tata Negara,(0799) 505 6634,"Gg. Sukabumi No. 497, Banjarmasin, SN 84794",pengacara349_risk-himself-nature@pt.net,Purwokerto,1974-04-01,Wanita
350,Ika Mansur,2025-08-31,Hukum Tata Negara,+62 (019) 251-6,"Jl. Rumah Sakit No. 50, Parepare, SN 09100",pengacara350_history-pay-above@pd.web.id,Bandung,1992-06-18,Wanita
351,"Karen Mandala, S.Psi",2024-07-12,Hukum Pidana,(0253) 242-8860,"Gg. Setiabudhi No. 07, Bogor, Nusa Tenggara Barat 03898",pengacara351_himself-address-to@ud.int,Tangerang,1976-04-22,Laki-Laki
352,Arta Sirait,2025-07-08,Hukum Pajak,+62-082-355-581,"Jalan Ahmad Dahlan No. 656, Banjar, Sulawesi Barat 18129",pengacara352_these-detail-season@ud.com,Tanjungpinang,1984-04-09,Wanita
353,Maryadi Halim,2024-03-05,Hukum Properti,(0452) 748-0524,"Gang Dr. Djunjunan No. 470, Yogyakarta, DI Yogyakarta 81971",pengacara353_together-all-into@pd.org,Cilegon,1988-09-06,Laki-Laki
354,Adika Suwarno,2025-12-27,Hukum Pajak,(0035) 594 3605,"Gg. Rungkut Industri No. 36, Sawahlunto, MA 21272",pengacara354_significant-office@ud.desa.id,Ambon,1984-10-27,Wanita
355,Agus Tamba,2025-05-31,Hukum Kepailitan,+62 (069) 111 2,"Gg. Rajawali Timur No. 323, Semarang, KB 50155",pengacara355_realize-into@pt.id,Jambi,1991-06-03,Laki-Laki
356,Malika Pradipta,2025-11-15,Hukum Bisnis,+62 (0882) 621-,"Gg. Rajawali Barat No. 70, Sorong, Sumatera Selatan 39689",pengacara356_soon-brother@cv.biz.id,Sungai Penuh,1980-11-25,Laki-Laki
357,Kayla Pratiwi,2025-06-19,Hukum Kepailitan,+62-241-777-917,"Gang Cempaka No. 9, Ternate, KS 86595",pengacara357_before-leave@cv.mil.id,Mojokerto,1971-07-04,Wanita
358,drg. Wage Kurniawan,2024-01-12,Hukum Keluarga,+62 (0530) 698 ,"Jl. BKR No. 3, Palopo, Banten 43720",pengacara358_focus-born-improve@pt.gov,Samarinda,1994-01-27,Laki-Laki
359,Nasim Tamba,2024-04-19,Hukum Kepailitan,+62 (59) 517-92,"Jl. Raya Setiabudhi No. 3, Surakarta, Papua 19408",pengacara359_sense-behavior-boy@perum.or.id,Kota Administrasi Jakarta Timur,1971-05-24,Wanita
360,Hasan Simanjuntak,2025-03-01,Hukum Pidana,+62 (086) 463-2,"Jl. Rajawali Barat No. 2, Tegal, Maluku 06041",pengacara360_ago-necessary-none@ud.org,Dumai,1994-10-14,Wanita
361,"R.A. Anita Prasetyo, M.Farm",2025-05-14,Hukum Tata Negara,+62 (747) 806 9,"Jalan Merdeka No. 3, Jayapura, Jawa Barat 52978",pengacara361_between-carry@pd.id,Depok,1979-07-11,Laki-Laki
362,R.M. Kambali Wasita,2025-01-25,Hukum Pidana,+62 (728) 481-2,"Jalan Surapati No. 19, Sorong, Sulawesi Barat 20169",pengacara362_statement-machine@cv.sch.id,Lubuklinggau,1991-08-17,Laki-Laki
363,Bagus Puspasari,2025-02-16,Hukum Pajak,+62-0406-836-17,"Gang Dipatiukur No. 99, Padangpanjang, JK 91303",pengacara363_everything-upon@cv.web.id,Samarinda,1981-11-22,Wanita
364,"Pangeran Zulkarnain, S.Farm",2025-01-12,Hukum Pidana,+62-810-820-228,"Jl. Rajawali Barat No. 067, Bima, SS 72826",pengacara364_its-best-box-life@pt.gov,Tarakan,1983-01-21,Wanita
365,Eja Laksita,2024-05-17,Hukum Kepailitan,089 409 3456,"Jalan Jayawijaya No. 07, Mataram, Sumatera Barat 62290",pengacara365_debate-new-ten@ud.net.id,Depok,1992-06-11,Laki-Laki
366,"Ir. Nasrullah Lestari, S.Psi",2024-10-12,Hukum Pajak,(059) 328-3085,"Jalan Moch. Toha No. 70, Prabumulih, Sulawesi Selatan 16135",pengacara366_authority-garden@perum.id,Cimahi,1981-08-10,Laki-Laki
